航班编号 航空公司名称 起飞时间 起飞地点 降落时间 降落地点 余票 票价 经停站1名称 到达经停站1时间 经停站2名称 到达经停站2时间
ZG1034 中国航空 03250930 北京 03251230 广州 160 824 长沙 03251100 0 0
ZG1035 中国航空 03250930 北京 03251330 海口 150 956 郑州 03251000 武汉 03021200
ZG1036 中国航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
ZG1037 中国航空 03250930 北京 03251230 贵阳 160 824 杭州 03251100 0 0
ZG1038 中国航空 03250930 北京 03251230 乌鲁木齐 150 956 银川 03251000 0 0
ZG1039 中国航空 03250930 北京 03251130 乌鲁木齐 150 956 0 0 0 0
ZG1040 中国航空 03250930 北京 03251230 成都 160 824 西安 03251100 0 0
ZG1041 中国航空 03250930 北京 03251130 西宁 150 956 0 0 0 0
ZG1042 中国航空 03250930 北京 03251230 南宁 150 956 长沙 03251000 0 0
ZG1043 中国航空 03250930 北京 03251230 南宁 160 824 合肥 03251100 0 0
ZG1044 中国航空 03250930 北京 03251130 合肥 150 956 0 0 0 0
ZG1045 中国航空 03250930 北京 03251200 香港 150 956 武汉 03251000 0 0
ZG1046 中国航空 03250930 北京 03251230 昆明 160 824 重庆 03251100 0 0
ZG1047 中国航空 03250930 北京 03251130 重庆 150 956 0 0 0 0
ZG1048 中国航空 03250930 北京 03251300 台北 150 956 上海 03251000 0 0

DF1002 东方航空 03250930 北京 03251330 哈尔滨 150 966 沈阳 03251000 长春 03251130
DF1003 东方航空 03250930 北京 03251130 武汉 150 986 郑州 03251000 0 0
DF1005 东方航空 03250930 北京 03251130 福州 150 996 武汉 03251000 0 0
DF1006 东方航空 03250930 北京 03251130 武汉 150 966 郑州 03251000 0 0
DF1008 东方航空 03250930 北京 03251230 哈尔滨 150 966 长春 03251130 0 0
DF1009 东方航空 03250930 北京 03251130 拉萨 150 976 西安 03251000 0 0
DF1010 东方航空 03250930 北京 03251230 广州 160 894 长沙 03251100 0 0
DF1011 东方航空 03250930 北京 03251130 海口 150 955 郑州 03251000 武汉 03011130
DF1012 东方航空 03250930 北京 03251130 武汉 150 956 0 0 0 0
DF1013 东方航空 03250930 北京 03251230 贵阳 160 826 杭州 03251100 0 0
DF1014 东方航空 03250930 北京 03251130 乌鲁木齐 150 953 银川 03251000 0 0
DF1015 东方航空 03250930 北京 03251100 乌鲁木齐 150 956 0 0 0 0
DF1016 东方航空 03250930 北京 03251230 成都 160 884 西安 03251100 0 0
DF1017 东方航空 03250930 北京 03251130 西宁 150 856 0 0 0 0
DF1018 东方航空 03250930 北京 03251130 南宁 150 986 长沙 03251000 0 0
DF1019 东方航空 03250930 北京 03251230 南宁 160 854 合肥 03251100 0 0
DF1020 东方航空 03250930 北京 03251130 合肥 150 966 济南 03251000 0 0
DF1021 东方航空 03250930 北京 03251130 香港 150 976 武汉 03251000 0 0
DF1022 东方航空 03250930 北京 03251230 昆明 160 864 重庆 03251100 0 0
DF1023 东方航空 03250930 北京 03251130 重庆 150 966 0 0 0 0
DF1024 东方航空 03250930 北京 03251200 台北 150 956 上海 03251000 0 0
DF1026 东方航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
DF1027 东方航空 03250930 北京 03251130 武汉 150 956 郑州 03251000 0 0
DF1029 东方航空 03250930 北京 03251130 福州 150 956 武汉 03251000 0 0
DF1030 东方航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
DF1032 东方航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
DF1033 东方航空 03250930 北京 03251200 拉萨 150 956 西安 03251000 0 0
DF1034 东方航空 03250930 北京 03251230 广州 160 824 长沙 03251100 0 0
DF1035 东方航空 03250930 北京 03251330 海口 150 956 郑州 03251000 武汉 03021200
DF1036 东方航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
DF1037 东方航空 03250930 北京 03251230 贵阳 160 824 杭州 03251100 0 0
DF1038 东方航空 03250930 北京 03251230 乌鲁木齐 150 956 银川 03251000 0 0
DF1039 东方航空 03250930 北京 03251130 乌鲁木齐 150 956 0 0 0 0
DF1040 东方航空 03250930 北京 03251230 成都 160 824 西安 03251100 0 0
DF1041 东方航空 03250930 北京 03251130 西宁 150 956 0 0 0 0
DF1042 东方航空 03250930 北京 03251230 南宁 150 956 长沙 03251000 0 0
DF1043 东方航空 03250930 北京 03251230 南宁 160 824 合肥 03251100 0 0
DF1044 东方航空 03250930 北京 03251130 合肥 150 956 0 0 0 0
DF1045 东方航空 03250930 北京 03251200 香港 150 956 武汉 03251000 0 0
DF1046 东方航空 03250930 北京 03251230 昆明 160 824 重庆 03251100 0 0
DF1047 东方航空 03250930 北京 03251130 重庆 150 956 0 0 0 0
DF1048 东方航空 03250930 北京 03251300 台北 150 956 上海 03251000 0 0

NF1002 南方航空 03250930 北京 03251330 哈尔滨 150 966 沈阳 03251000 长春 03251130
NF1003 南方航空 03250930 北京 03251130 武汉 150 986 郑州 03251000 0 0
NF1005 南方航空 03250930 北京 03251130 福州 150 996 武汉 03251000 0 0
NF1006 南方航空 03250930 北京 03251130 武汉 150 966 郑州 03251000 0 0
NF1008 南方航空 03250930 北京 03251230 哈尔滨 150 966 长春 03251130 0 0
NF1009 南方航空 03250930 北京 03251130 拉萨 150 976 西安 03251000 0 0
NF1010 南方航空 03250930 北京 03251230 广州 160 894 长沙 03251100 0 0
NF1011 南方航空 03250930 北京 03251130 海口 150 955 郑州 03251000 武汉 03011130
NF1012 南方航空 03250930 北京 03251130 武汉 150 956 0 0 0 0
NF1013 南方航空 03250930 北京 03251230 贵阳 160 826 杭州 03251100 0 0
NF1014 南方航空 03250930 北京 03251130 乌鲁木齐 150 953 银川 03251000 0 0
NF1015 南方航空 03250930 北京 03251100 乌鲁木齐 150 956 0 0 0 0
NF1016 南方航空 03250930 北京 03251230 成都 160 884 西安 03251100 0 0
NF1017 南方航空 03250930 北京 03251130 西宁 150 856 0 0 0 0
NF1018 南方航空 03250930 北京 03251130 南宁 150 986 长沙 03251000 0 0
NF1019 南方航空 03250930 北京 03251230 南宁 160 854 合肥 03251100 0 0
NF1020 南方航空 03250930 北京 03251130 合肥 150 966 济南 03251000 0 0
NF1021 南方航空 03250930 北京 03251130 香港 150 976 武汉 03251000 0 0
NF1022 南方航空 03250930 北京 03251230 昆明 160 864 重庆 03251100 0 0
NF1023 南方航空 03250930 北京 03251130 重庆 150 966 0 0 0 0
NF1024 南方航空 03250930 北京 03251200 台北 150 956 上海 03251000 0 0
NF1026 南方航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
NF1027 南方航空 03250930 北京 03251130 武汉 150 956 郑州 03251000 0 0
NF1029 南方航空 03250930 北京 03251130 福州 150 956 武汉 03251000 0 0
NF1030 南方航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
NF1032 南方航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
NF1033 南方航空 03250930 北京 03251200 拉萨 150 956 西安 03251000 0 0
NF1034 南方航空 03250930 北京 03251230 广州 160 824 长沙 03251100 0 0
NF1035 南方航空 03250930 北京 03251330 海口 150 956 郑州 03251000 武汉 03021200
NF1036 南方航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
NF1037 南方航空 03250930 北京 03251230 贵阳 160 824 杭州 03251100 0 0
NF1038 南方航空 03250930 北京 03251230 乌鲁木齐 150 956 银川 03251000 0 0
NF1039 南方航空 03250930 北京 03251130 乌鲁木齐 150 956 0 0 0 0
NF1040 南方航空 03250930 北京 03251230 成都 160 824 西安 03251100 0 0
NF1041 南方航空 03250930 北京 03251130 西宁 150 956 0 0 0 0
NF1042 南方航空 03250930 北京 03251230 南宁 150 956 长沙 03251000 0 0
NF1043 南方航空 03250930 北京 03251230 南宁 160 824 合肥 03251100 0 0
NF1044 南方航空 03250930 北京 03251130 合肥 150 956 0 0 0 0
NF1045 南方航空 03250930 北京 03251200 香港 150 956 武汉 03251000 0 0
NF1046 南方航空 03250930 北京 03251230 昆明 160 824 重庆 03251100 0 0
NF1047 南方航空 03250930 北京 03251130 重庆 150 956 0 0 0 0
NF1048 南方航空 03250930 北京 03251300 台北 150 956 上海 03251000 0 0

SC1002 四川航空 03250930 北京 03251330 哈尔滨 150 966 沈阳 03251000 长春 03251130
SC1003 四川航空 03250930 北京 03251130 武汉 150 986 郑州 03251000 0 0
SC1005 四川航空 03250930 北京 03251130 福州 150 996 武汉 03251000 0 0
SC1006 四川航空 03250930 北京 03251130 武汉 150 966 郑州 03251000 0 0
SC1008 四川航空 03250930 北京 03251230 哈尔滨 150 966 长春 03251130 0 0
SC1009 四川航空 03250930 北京 03251130 拉萨 150 976 西安 03251000 0 0
SC1010 四川航空 03250930 北京 03251230 广州 160 894 长沙 03251100 0 0
SC1011 四川航空 03250930 北京 03251130 海口 150 955 郑州 03251000 武汉 03011130
SC1012 四川航空 03250930 北京 03251130 武汉 150 956 0 0 0 0
SC1013 四川航空 03250930 北京 03251230 贵阳 160 826 杭州 03251100 0 0
SC1014 四川航空 03250930 北京 03251130 乌鲁木齐 150 953 银川 03251000 0 0
SC1015 四川航空 03250930 北京 03251100 乌鲁木齐 150 956 0 0 0 0
SC1016 四川航空 03250930 北京 03251230 成都 160 884 西安 03251100 0 0
SC1017 四川航空 03250930 北京 03251130 西宁 150 856 0 0 0 0
SC1018 四川航空 03250930 北京 03251130 南宁 150 986 长沙 03251000 0 0
SC1019 四川航空 03250930 北京 03251230 南宁 160 854 合肥 03251100 0 0
SC1020 四川航空 03250930 北京 03251130 合肥 150 966 济南 03251000 0 0
SC1021 四川航空 03250930 北京 03251130 香港 150 976 武汉 03251000 0 0
SC1022 四川航空 03250930 北京 03251230 昆明 160 864 重庆 03251100 0 0
SC1023 四川航空 03250930 北京 03251130 重庆 150 966 0 0 0 0
SC1024 四川航空 03250930 北京 03251200 台北 150 956 上海 03251000 0 0
SC1026 四川航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
SC1027 四川航空 03250930 北京 03251130 武汉 150 956 郑州 03251000 0 0
SC1029 四川航空 03250930 北京 03251130 福州 150 956 武汉 03251000 0 0
SC1030 四川航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
SC1032 四川航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
SC1033 四川航空 03250930 北京 03251200 拉萨 150 956 西安 03251000 0 0
SC1034 四川航空 03250930 北京 03251230 广州 160 824 长沙 03251100 0 0
SC1035 四川航空 03250930 北京 03251330 海口 150 956 郑州 03251000 武汉 03021200
SC1036 四川航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
SC1037 四川航空 03250930 北京 03251230 贵阳 160 824 杭州 03251100 0 0
SC1038 四川航空 03250930 北京 03251230 乌鲁木齐 150 956 银川 03251000 0 0
SC1039 四川航空 03250930 北京 03251130 乌鲁木齐 150 956 0 0 0 0
SC1040 四川航空 03250930 北京 03251230 成都 160 824 西安 03251100 0 0
SC1041 四川航空 03250930 北京 03251130 西宁 150 956 0 0 0 0
SC1042 四川航空 03250930 北京 03251230 南宁 150 956 长沙 03251000 0 0
SC1043 四川航空 03250930 北京 03251230 南宁 160 824 合肥 03251100 0 0
SC1044 四川航空 03250930 北京 03251130 合肥 150 956 0 0 0 0
SC1045 四川航空 03250930 北京 03251200 香港 150 956 武汉 03251000 0 0
SC1046 四川航空 03250930 北京 03251230 昆明 160 824 重庆 03251100 0 0
SC1047 四川航空 03250930 北京 03251130 重庆 150 956 0 0 0 0
SC1048 四川航空 03250930 北京 03251300 台北 150 956 上海 03251000 0 0

CQ1002 重庆航空 03250930 北京 03251330 哈尔滨 150 966 沈阳 03251000 长春 03251130
CQ1003 重庆航空 03250930 北京 03251130 武汉 150 986 郑州 03251000 0 0
CQ1005 重庆航空 03250930 北京 03251130 福州 150 996 武汉 03251000 0 0
CQ1006 重庆航空 03250930 北京 03251130 武汉 150 966 郑州 03251000 0 0
CQ1008 重庆航空 03250930 北京 03251230 哈尔滨 150 966 长春 03251130 0 0
CQ1009 重庆航空 03250930 北京 03251130 拉萨 150 976 西安 03251000 0 0
CQ1010 重庆航空 03250930 北京 03251230 广州 160 894 长沙 03251100 0 0
CQ1011 重庆航空 03250930 北京 03251130 海口 150 955 郑州 03251000 武汉 03011130
CQ1012 重庆航空 03250930 北京 03251130 武汉 150 956 0 0 0 0
CQ1013 重庆航空 03250930 北京 03251230 贵阳 160 826 杭州 03251100 0 0
CQ1014 重庆航空 03250930 北京 03251130 乌鲁木齐 150 953 银川 03251000 0 0
CQ1015 重庆航空 03250930 北京 03251100 乌鲁木齐 150 956 0 0 0 0
CQ1016 重庆航空 03250930 北京 03251230 成都 160 884 西安 03251100 0 0
CQ1017 重庆航空 03250930 北京 03251130 西宁 150 856 0 0 0 0
CQ1018 重庆航空 03250930 北京 03251130 南宁 150 986 长沙 03251000 0 0
CQ1019 重庆航空 03250930 北京 03251230 南宁 160 854 合肥 03251100 0 0
CQ1020 重庆航空 03250930 北京 03251130 合肥 150 966 济南 03251000 0 0
CQ1021 重庆航空 03250930 北京 03251130 香港 150 976 武汉 03251000 0 0
CQ1022 重庆航空 03250930 北京 03251230 昆明 160 864 重庆 03251100 0 0
CQ1023 重庆航空 03250930 北京 03251130 重庆 150 966 0 0 0 0
CQ1024 重庆航空 03250930 北京 03251200 台北 150 956 上海 03251000 0 0
CQ1026 重庆航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
CQ1027 重庆航空 03250930 北京 03251130 武汉 150 956 郑州 03251000 0 0
CQ1029 重庆航空 03250930 北京 03251130 福州 150 956 武汉 03251000 0 0
CQ1030 重庆航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
CQ1032 重庆航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
CQ1033 重庆航空 03250930 北京 03251200 拉萨 150 956 西安 03251000 0 0
CQ1034 重庆航空 03250930 北京 03251230 广州 160 824 长沙 03251100 0 0
CQ1035 重庆航空 03250930 北京 03251330 海口 150 956 郑州 03251000 武汉 03021200
CQ1036 重庆航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
CQ1037 重庆航空 03250930 北京 03251230 贵阳 160 824 杭州 03251100 0 0
CQ1038 重庆航空 03250930 北京 03251230 乌鲁木齐 150 956 银川 03251000 0 0
CQ1039 重庆航空 03250930 北京 03251130 乌鲁木齐 150 956 0 0 0 0
CQ1040 重庆航空 03250930 北京 03251230 成都 160 824 西安 03251100 0 0
CQ1041 重庆航空 03250930 北京 03251130 西宁 150 956 0 0 0 0
CQ1042 重庆航空 03250930 北京 03251230 南宁 150 956 长沙 03251000 0 0
CQ1043 重庆航空 03250930 北京 03251230 南宁 160 824 合肥 03251100 0 0
CQ1044 重庆航空 03250930 北京 03251130 合肥 150 956 0 0 0 0
CQ1045 重庆航空 03250930 北京 03251200 香港 150 956 武汉 03251000 0 0
CQ1046 重庆航空 03250930 北京 03251230 昆明 160 824 重庆 03251100 0 0
CQ1047 重庆航空 03250930 北京 03251130 重庆 150 956 0 0 0 0
CQ1048 重庆航空 03250930 北京 03251300 台北 150 956 上海 03251000 0 0

SD1002 山东航空 03250930 北京 03251330 哈尔滨 150 966 沈阳 03251000 长春 03251130
SD1003 山东航空 03250930 北京 03251130 武汉 150 986 郑州 03251000 0 0
SD1005 山东航空 03250930 北京 03251130 福州 150 996 武汉 03251000 0 0
SD1006 山东航空 03250930 北京 03251130 武汉 150 966 郑州 03251000 0 0
SD1008 山东航空 03250930 北京 03251230 哈尔滨 150 966 长春 03251130 0 0
SD1009 山东航空 03250930 北京 03251130 拉萨 150 976 西安 03251000 0 0
SD1010 山东航空 03250930 北京 03251230 广州 160 894 长沙 03251100 0 0
SD1011 山东航空 03250930 北京 03251130 海口 150 955 郑州 03251000 武汉 03011130
SD1012 山东航空 03250930 北京 03251130 武汉 150 956 0 0 0 0
SD1013 山东航空 03250930 北京 03251230 贵阳 160 826 杭州 03251100 0 0
SD1014 山东航空 03250930 北京 03251130 乌鲁木齐 150 953 银川 03251000 0 0
SD1015 山东航空 03250930 北京 03251100 乌鲁木齐 150 956 0 0 0 0
SD1016 山东航空 03250930 北京 03251230 成都 160 884 西安 03251100 0 0
SD1017 山东航空 03250930 北京 03251130 西宁 150 856 0 0 0 0
SD1018 山东航空 03250930 北京 03251130 南宁 150 986 长沙 03251000 0 0
SD1019 山东航空 03250930 北京 03251230 南宁 160 854 合肥 03251100 0 0
SD1020 山东航空 03250930 北京 03251130 合肥 150 966 济南 03251000 0 0
SD1021 山东航空 03250930 北京 03251130 香港 150 976 武汉 03251000 0 0
SD1022 山东航空 03250930 北京 03251230 昆明 160 864 山东 03251100 0 0
SD1023 山东航空 03250930 北京 03251130 山东 150 966 0 0 0 0
SD1024 山东航空 03250930 北京 03251200 台北 150 956 上海 03251000 0 0
SD1026 山东航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
SD1027 山东航空 03250930 北京 03251130 武汉 150 956 郑州 03251000 0 0
SD1029 山东航空 03250930 北京 03251130 福州 150 956 武汉 03251000 0 0
SD1030 山东航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
SD1032 山东航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
SD1033 山东航空 03250930 北京 03251200 拉萨 150 956 西安 03251000 0 0
SD1034 山东航空 03250930 北京 03251230 广州 160 824 长沙 03251100 0 0
SD1035 山东航空 03250930 北京 03251330 海口 150 956 郑州 03251000 武汉 03021200
SD1036 山东航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
SD1037 山东航空 03250930 北京 03251230 贵阳 160 824 杭州 03251100 0 0
SD1038 山东航空 03250930 北京 03251230 乌鲁木齐 150 956 银川 03251000 0 0
SD1039 山东航空 03250930 北京 03251130 乌鲁木齐 150 956 0 0 0 0
SD1040 山东航空 03250930 北京 03251230 成都 160 824 西安 03251100 0 0
SD1041 山东航空 03250930 北京 03251130 西宁 150 956 0 0 0 0
SD1042 山东航空 03250930 北京 03251230 南宁 150 956 长沙 03251000 0 0
SD1043 山东航空 03250930 北京 03251230 南宁 160 824 合肥 03251100 0 0
SD1044 山东航空 03250930 北京 03251130 合肥 150 956 0 0 0 0
SD1045 山东航空 03250930 北京 03251200 香港 150 956 武汉 03251000 0 0
SD1046 山东航空 03250930 北京 03251230 昆明 160 824 山东 03251100 0 0
SD1047 山东航空 03250930 北京 03251130 山东 150 956 0 0 0 0
SD1048 山东航空 03250930 北京 03251300 台北 150 956 上海 03251000 0 0

DB1002 东北航空 03250930 北京 03251330 哈尔滨 150 966 沈阳 03251000 长春 03251130
DB1003 东北航空 03250930 北京 03251130 武汉 150 986 郑州 03251000 0 0
DB1005 东北航空 03250930 北京 03251130 福州 150 996 武汉 03251000 0 0
DB1006 东北航空 03250930 北京 03251130 武汉 150 966 郑州 03251000 0 0
DB1008 东北航空 03250930 北京 03251230 哈尔滨 150 966 长春 03251130 0 0
DB1009 东北航空 03250930 北京 03251130 拉萨 150 976 西安 03251000 0 0
DB1010 东北航空 03250930 北京 03251230 广州 160 894 长沙 03251100 0 0
DB1011 东北航空 03250930 北京 03251130 海口 150 955 郑州 03251000 武汉 03011130
DB1012 东北航空 03250930 北京 03251130 武汉 150 956 0 0 0 0
DB1013 东北航空 03250930 北京 03251230 贵阳 160 826 杭州 03251100 0 0
DB1014 东北航空 03250930 北京 03251130 乌鲁木齐 150 953 银川 03251000 0 0
DB1015 东北航空 03250930 北京 03251100 乌鲁木齐 150 956 0 0 0 0
DB1016 东北航空 03250930 北京 03251230 成都 160 884 西安 03251100 0 0
DB1017 东北航空 03250930 北京 03251130 西宁 150 856 0 0 0 0
DB1018 东北航空 03250930 北京 03251130 南宁 150 986 长沙 03251000 0 0
DB1019 东北航空 03250930 北京 03251230 南宁 160 854 合肥 03251100 0 0
DB1020 东北航空 03250930 北京 03251130 合肥 150 966 济南 03251000 0 0
DB1021 东北航空 03250930 北京 03251130 香港 150 976 武汉 03251000 0 0
DB1022 东北航空 03250930 北京 03251230 昆明 160 864 东北 03251100 0 0
DB1023 东北航空 03250930 北京 03251130 东北 150 966 0 0 0 0
DB1024 东北航空 03250930 北京 03251200 台北 150 956 上海 03251000 0 0
DB1026 东北航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
DB1027 东北航空 03250930 北京 03251130 武汉 150 956 郑州 03251000 0 0
DB1029 东北航空 03250930 北京 03251130 福州 150 956 武汉 03251000 0 0
DB1030 东北航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
DB1032 东北航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
DB1033 东北航空 03250930 北京 03251200 拉萨 150 956 西安 03251000 0 0
DB1034 东北航空 03250930 北京 03251230 广州 160 824 长沙 03251100 0 0
DB1035 东北航空 03250930 北京 03251330 海口 150 956 郑州 03251000 武汉 03021200
DB1036 东北航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
DB1037 东北航空 03250930 北京 03251230 贵阳 160 824 杭州 03251100 0 0
DB1038 东北航空 03250930 北京 03251230 乌鲁木齐 150 956 银川 03251000 0 0
DB1039 东北航空 03250930 北京 03251130 乌鲁木齐 150 956 0 0 0 0
DB1040 东北航空 03250930 北京 03251230 成都 160 824 西安 03251100 0 0
DB1041 东北航空 03250930 北京 03251130 西宁 150 956 0 0 0 0
DB1042 东北航空 03250930 北京 03251230 南宁 150 956 长沙 03251000 0 0
DB1043 东北航空 03250930 北京 03251230 南宁 160 824 合肥 03251100 0 0
DB1044 东北航空 03250930 北京 03251130 合肥 150 956 0 0 0 0
DB1045 东北航空 03250930 北京 03251200 香港 150 956 武汉 03251000 0 0
DB1046 东北航空 03250930 北京 03251230 昆明 160 824 东北 03251100 0 0
DB1047 东北航空 03250930 北京 03251130 东北 150 956 0 0 0 0
DB1048 东北航空 03250930 北京 03251300 台北 150 956 上海 03251000 0 0
